HORA,CICLO,TAXA_CICLO,CAMPEONATO_RECOMENDADO,TAXA_ESPECIFICA,RECOMENDACAO,STAKE,CONFIANCA
0,00h-05h,16.0,PREMIER,16.0,NÃO OPERAR,-,❌
1,00h-05h,16.0,PREMIER,16.0,NÃO OPERAR,-,❌
2,00h-05h,16.0,PREMIER,16.0,NÃO OPERAR,-,❌
3,00h-05h,16.0,PREMIER,16.0,NÃO OPERAR,-,❌
4,00h-05h,16.0,PREMIER,16.0,NÃO OPERAR,-,❌
5,00h-05h,16.0,PREMIER,16.0,NÃO OPERAR,-,❌
6,06h-11h,20.0,PREMIER,20.0,BAIXA,R$5.00,⭐
7,06h-11h,20.0,PREMIER,20.0,BAIXA,R$5.00,⭐
8,06h-11h,20.0,EURO,40.0,ALTA,R$25.00,⭐⭐⭐
9,06h-11h,20.0,PREMIER,20.0,BAIXA,R$5.00,⭐
10,06h-11h,20.0,PREMIER,20.0,BAIXA,R$5.00,⭐
11,06h-11h,20.0,PREMIER,20.0,BAIXA,R$5.00,⭐
12,12h-17h,33.0,PREMIER,33.0,ALTA,R$25.00,⭐⭐⭐
13,12h-17h,33.0,PREMIER,50.0,MUITO ALTA,R$25.00,⭐⭐⭐⭐
14,12h-17h,33.0,PREMIER,50.0,MUITO ALTA,R$25.00,⭐⭐⭐⭐
15,12h-17h,33.0,PREMIER,33.0,ALTA,R$25.00,⭐⭐⭐
16,12h-17h,33.0,PREMIER,45.0,MUITO ALTA,R$25.00,⭐⭐⭐⭐
17,12h-17h,33.0,PREMIER,45.0,MUITO ALTA,R$25.00,⭐⭐⭐⭐
18,18h-23h,26.0,PREMIER,26.0,MÉDIA,R$15.00,⭐⭐
19,18h-23h,26.0,PREMIER,26.0,MÉDIA,R$15.00,⭐⭐
20,18h-23h,26.0,PREMIER,26.0,MÉDIA,R$15.00,⭐⭐
21,18h-23h,26.0,PREMIER,45.0,MUITO ALTA,R$25.00,⭐⭐⭐⭐
22,18h-23h,26.0,EURO,40.0,ALTA,R$25.00,⭐⭐⭐
23,18h-23h,26.0,PREMIER,26.0,MÉDIA,R$15.00,⭐⭐
